"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"五条公園　公衆トイレ","大阪市天王寺区烏ケ辻2丁目 5-37","ごじょうこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.5240926","34.6578999000003","公衆便所"
"御霊神社横公衆トイレ","大阪市中央区淡路町4","ごりょうじんじゃよここうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.4989098","34.6876043900004","公衆便所"
"新世界公衆トイレ","大阪市浪速区恵美須東1-18","しんせかいこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：２","","135.5059718","34.6525450800004","公衆便所"
"相合橋公衆トイレ","大阪市中央区宗右衛門町","あいあうばしこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：１　　女性用　洋：１　　男女兼用車いす対応：１","","135.504368","34.6692129500004","車いす対応公衆便所"
"野里公園　公衆トイレ","大阪市西淀川区野里1丁目 9-17","のざとこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１","","135.463341800001","34.7087649000005","車いす対応公衆便所"
"大野川遊歩道公衆トイレ","大阪市西淀川区御幣島3-1","おおのがわゆうほどうこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　和：１　小：２　　女性用　和：２　　男女兼用　車いす対応：１","","135.460077000001","34.7155035800005","車いす対応公衆便所"
"南中本公園　公衆トイレ","大阪市東成区大今里西1丁目 10-1","みなみなかもとこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１","","135.5421319","34.6742732000003","車いす対応公衆便所"
"大今里公園　公衆トイレ","大阪市東成区大今里4丁目 16-23","おおいまざとこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　和：１　小：２　　女性用　和：１","","135.5486893","34.6686406000002","公衆便所"
"千林町公衆トイレ","大阪市旭区千林1-11","せんばやしちょうこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　車いす対応：１　女性用　洋：１　車いす対応：１","","135.5548152","34.7242581700002","車いす対応公衆便所"
"山坂公園　公衆トイレ","大阪市東住吉区山坂2丁目 19-33","やまさかこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.5218921","34.6230148000003","公衆便所"
